"URL","LotNumber"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-481de8c7-2582-4a82-b637-b36400c55000","176"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-811d0e07-ed5b-411c-b9a7-b36400c53f20","144"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-ad2ff10c-ebf6-4b21-b7eb-b36400c54248","150"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-c610b62d-ce39-4950-b754-b36400c53c7b","139"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-6d8a7116-cf09-46a0-80a3-b36400c52cb1","111"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-c7a517a9-b51c-4b59-8536-b36400c53ea2","143"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-07669cc7-f84f-4c18-889e-b36400c53a55","135"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-6564a813-e7f5-4c8a-93c8-b36400c539c7","134"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-d019fd18-4db8-4969-bd0c-b36400c53650","129"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-03c3a91f-5ab7-45c5-9077-b36400c51bd6","79"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-8337403d-d913-47b8-a5e9-b36400c5200e","87"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-fc0ca765-c71e-4ac6-b250-b36400c5da88",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-e72a9ad4-c1e3-4aa5-bef3-b36400c5cc49",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-156eba4d-bf5f-4f0c-bb98-b36401505a91",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-bab839f2-40da-4d66-b483-b3640150c252",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-dd081c83-879d-4cce-a89b-b3640150c182",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-f577f385-2993-487c-8e14-b3640118fea4",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-d5b11053-6639-4a9a-864b-b3640118f97b",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-e248847d-0ba3-4cfe-8108-b3640118fbb6",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-4e2f2049-b64a-4b36-b1f4-b3640118ee29",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-b32936e5-3541-45a8-b38b-b3640118d4b4",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-796fd102-9bcf-42c7-814b-b3640118d40e",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-46543b48-e880-494f-9ae6-b36400c5f311",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-52ae7f0e-b76d-4c0e-94c1-b36400c5f1f2",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-926634e3-1588-4f85-ac6d-b36400c5e8cb",""
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10244/lot-ceec4185-d529-4e5d-acd5-b36400c5e842",""
